M_Kibibytes,Lanes,Batch_Size,TE_Threads_Per_Block,TE_Blocks,TE_Total_Threads,Time_Cost,Mean_CT,Mean_Deviation_CT,Mean_HT,Mean_Deviation_HT,TE_Upper_Thread_Limit
1953125,2,1,64,1,64,1,917.588910 ms,2.900798 ms,917.588910 ms,2.900798 ms,70656
1953125,2,2,64,2,128,1,934.931140 ms,9.379380 ms,467.465570 ms,4.689690 ms,70656
1953125,2,3,64,3,192,1,924.858480 ms,541.352000 us,308.286159 ms,180.450000 us,70656
1953125,2,4,64,4,256,1,930.058810 ms,4.432896 ms,232.514702 ms,1.108223 ms,70656
1953125,2,5,64,5,320,1,930.977690 ms,3.536902 ms,186.195538 ms,707.380000 us,70656
1953125,2,6,64,6,384,1,931.848750 ms,768.170000 us,155.308124 ms,128.027000 us,70656
1953125,2,7,64,7,448,1,1.702057 s,1.828630 ms,243.150966 ms,261.232000 us,70656
